Entity	Sentence	Uri	WikiTitle
beach EntityMentionSEP St Brides Bay EntityMentionSEP Pembrokeshire Coast National Park EntityMentionSEP United Kingdom EntityMentionSEP	Whitesands Bay ( ) shown as Whitesand Bay on some maps   is an award-winning   standard   wide sandy beach in St Brides Bay in the Pembrokeshire Coast National Park   United Kingdom .	NA NA NA NA	 WikiLabelSEP es Bay WikiLabelSEP eshire Coast National Park WikiLabelSEP Kingdom WikiLabelSEP
city EntityMentionSEP surfing EntityMentionSEP	The beach is located about two miles west of the small city of and about one mile south of and has been described as the best surfing beach in Pembrokeshire and one of the best tourist beaches in the world .	NA	 WikiLabelSEP
	The area to the north east of the bay is dominated by a large rocky outcrop   at its highest point   known as Carn Llidi - which could mean Cairn of the Gates or Cairn of Wrath .		
Pembrokeshire Coast Path EntityMentionSEP	The Pembrokeshire Coast Path passes alongside the bay   giving access in the north to the secluded bays of Porthlleuog and Porthmelgan ( which are only accessible on foot )   and the rugged coastal scenery of St Davids Head .	NA	eshire Coast Path WikiLabelSEP
Ramsey Island EntityMentionSEP	To the south   the coastal path leads to Porthselau and St. Justinian 's   with views across the Ramsey Sound to Ramsey Island .	NA	Island WikiLabelSEP
British Iron Age EntityMentionSEP field system EntityMentionSEP	There are a number of s   stone hut circles and British Iron Age field system s and enclosures to be seen in the vicinity of Carn Llidi and St Davids Head .	NA NA	 Iron Age WikiLabelSEP ystem WikiLabelSEP
Christianity EntityMentionSEP	It is said that had his vision to convert Ireland to Christianity here and set sail from the bay in the fifth century .	NA	anity WikiLabelSEP
pilgrim EntityMentionSEP	The site of a Celtic chapel   dedicated to St Patrick   is located under a mound by the car park just to the east of the bay   at what is thought to have been the embarcation point for pilgrim s to .	NA	 WikiLabelSEP
submerged forest EntityMentionSEP	At very low tide and after heavy storms the remains of an ancient   submerged forest can be seen on the beach   consisting of stumps of birch   fir   hazel and oak trees .	NA	ed forest WikiLabelSEP
aurochs EntityMentionSEP	The remains of animals have been found in these deposits including parts of an aurochs	NA	 WikiLabelSEP
Canadian EntityMentionSEP ice hockey EntityMentionSEP Slovenia EntityMentionSEP HDD Olimpija Ljubljana EntityMentionSEP Erste Bank Eishockey Liga EntityMentionSEP	Matt Higgins ( born October 29   1977 ) is a Canadian professional ice hockey who currently plays for Slovenia n based team HDD Olimpija Ljubljana of the Erste Bank Eishockey Liga ( EBEL ) .	NA NA NA NA NA	 WikiLabelSEP key WikiLabelSEP a WikiLabelSEP mpija Ljubljana WikiLabelSEP n Hockey League WikiLabelSEP
1996 NHL Entry Draft EntityMentionSEP	Matt Higgins was selected 18th overall in the 1996 NHL Entry Draft by the .	NA	L Entry Draft WikiLabelSEP
1997 -- 98 NHL season EntityMentionSEP 2000 -- 01 NHL season EntityMentionSEP	He played in 57 regular season NHL games throughout the 1997 -- 98 NHL season to the 2000 -- 01 NHL season .	NA	 NHL season WikiLabelSEP
Western Hockey League EntityMentionSEP Moose Jaw Warriors EntityMentionSEP	He began his hockey career with the Western Hockey League Moose Jaw Warriors in 1993 where he played until he was drafted .	NA NA	 Hockey League WikiLabelSEP aw Warriors WikiLabelSEP
American Hockey League EntityMentionSEP Fredericton Canadiens EntityMentionSEP Quebec Citadelles EntityMentionSEP	He then played for the American Hockey League Fredericton Canadiens and Quebec Citadelles .	NA NA NA	n Hockey League WikiLabelSEP cton Canadiens WikiLabelSEP Citadelles WikiLabelSEP
Bridgeport Sound Tigers EntityMentionSEP Europe EntityMentionSEP Deutsche Eishockey Liga EntityMentionSEP Iserlohn Roosters EntityMentionSEP	He played through two seasons for the Bridgeport Sound Tigers before moving to Europe to play for the Deutsche Eishockey Liga Iserlohn Roosters .	NA NA NA NA	ort Sound Tigers WikiLabelSEP  WikiLabelSEP e Eishockey Liga WikiLabelSEP n Roosters WikiLabelSEP
HDD Olimpija Ljubljana EntityMentionSEP	He currently plays for the HDD Olimpija Ljubljana	NA	mpija Ljubljana WikiLabelSEP
masque EntityMentionSEP Ben Jonson EntityMentionSEP	' Love 's Welcome at Bolsover ' ( alternative archaic spelling   ' Balsover ' ) is the final masque composed by Ben Jonson .	NA NA	 WikiLabelSEP son WikiLabelSEP
1641 EntityMentionSEP	It was performed on 30 July 1634   three years before the poet 's death   and published in 1641 .	NA	 literature WikiLabelSEP
Stuart EntityMentionSEP	The masque was not produced by the Stuart Court in one of the royal palaces around London   as many of Jonson 's notable early masques were .	NA	f Stuart WikiLabelSEP
William Cavendish , 1st Duke of Newcastle EntityMentionSEP Bolsover Castle EntityMentionSEP Derbyshire EntityMentionSEP Charles I EntityMentionSEP Henrietta Maria EntityMentionSEP	Rather it was staged by William Cavendish   1st Duke of Newcastle ( at the time   he was the Earl of Newcastle ) at Bolsover Castle in Derbyshire   in honor of King Charles I and Queen Henrietta Maria .	NA NA NA NA NA	 Cavendish, 1st Duke of Newcastle WikiLabelSEP r Castle WikiLabelSEP ire WikiLabelSEP  I of England WikiLabelSEP ta Maria of France WikiLabelSEP
Welbeck EntityMentionSEP Nottinghamshire EntityMentionSEP The King 's Entertainment at Welbeck EntityMentionSEP 1633 EntityMentionSEP	Newcastle had put on a Jonson masque for his royal visitors at Welbeck in Nottinghamshire the year before : The King 's Entertainment at Welbeck   performed on 21 May 1633 .	NA NA NA NA	 Abbey WikiLabelSEP hamshire WikiLabelSEP g's Entertainment at Welbeck WikiLabelSEP  literature WikiLabelSEP
	It was such a success that the King requested another on his 1634 royal progress .		
	The Duke spent between # 14 000 and # 15 000 on staging the Bolsover masque and providing for his royal guests and their attendants   which was more than double the # 4 000 to # 5 000 he 'd spent for the Welbeck entertainment the previous year .		
The Masque of Beauty EntityMentionSEP 1608 EntityMentionSEP	( The Masque of Beauty   one of Jonson 's early Court masques   has cost # 4 000 to stage in 1608   and was considered exorbitantly expensive at the time . )	NA NA	que of Beauty WikiLabelSEP  literature WikiLabelSEP
Inigo Jones EntityMentionSEP 1614 EntityMentionSEP The Masque of Augurs EntityMentionSEP 1622 EntityMentionSEP Neptune 's Triumph for the Return of Albion EntityMentionSEP 1624 EntityMentionSEP The Staple of News EntityMentionSEP 1626 EntityMentionSEP A Tale of a Tub EntityMentionSEP 1633 EntityMentionSEP	In Love 's Welcome   Jonson continued the mockery of Inigo Jones that he 'd practiced for two decades   starting ( 1614 ) and continuing through The Masque of Augurs ( 1622 )   Neptune 's Triumph for the Return of Albion ( 1624 )   The Staple of News ( 1626 )   and A Tale of a Tub ( 1633 ) .	NA NA NA NA NA NA	ones WikiLabelSEP  literature WikiLabelSEP que of Augurs WikiLabelSEP 's Triumph for the Return of Albion WikiLabelSEP ple of News WikiLabelSEP of a Tub (play) WikiLabelSEP
	"In this masque   Jones is "" Colonel Iniquo Vitruvius . """		
	"The masque was staged in what was called the "" little castle "" at Bolsover   a then-recent ( Jacobean ) construction ."		
	The pillared hall there was furnished with five brilliantly-colored paintings on the theme of The Senses ; Jonson alludes to the paintings in his text .		
	"The show was described by local witnesses as "" stupendous   "" more than adequate to establish Newcastle 's reputation as the greatest "" prince ... in all the northern quarter "" of the kingdom ."		
	"Perhaps the most visually striking element in the masque lay in the two Cupids   Eros ( Love ) and Anteros ( Love Returned )   who descended "" from the clouds "" bearing fronds of palms ."		
second folio collection of Jonson 's works EntityMentionSEP	The masque was published in 1641 in the second folio collection of Jonson 's works	NA	son folios WikiLabelSEP
census-designated place EntityMentionSEP town EntityMentionSEP Standish EntityMentionSEP Cumberland County EntityMentionSEP Maine EntityMentionSEP United States EntityMentionSEP	Steep Falls is a census-designated place ( CDP ) in the town of Standish in Cumberland County   Maine   United States .	NA NA NA NA NA NA	designated place WikiLabelSEP land town WikiLabelSEP h, Maine WikiLabelSEP and County, Maine WikiLabelSEP  WikiLabelSEP States WikiLabelSEP
2010 census EntityMentionSEP	The population was 1 139 at the 2010 census .	NA	ited States Census WikiLabelSEP
Portland EntityMentionSEP South Portland EntityMentionSEP Biddeford EntityMentionSEP	It is part of the Portland -- South Portland -- Biddeford   Maine .	NA NA NA	d, Maine WikiLabelSEP ortland, Maine WikiLabelSEP rd, Maine WikiLabelSEP
Saco River EntityMentionSEP	Steep Falls is located in the western corner of the town of Standish along the Saco River at .	NA	ver WikiLabelSEP
Maine State Route 11 EntityMentionSEP Limington EntityMentionSEP Limerick EntityMentionSEP Naples EntityMentionSEP	Maine State Route 11 crosses the Saco River into the community   heading southwest towards Limington and Limerick and north towards Naples .	NA NA NA NA	tate Route 11 WikiLabelSEP on, Maine WikiLabelSEP k, Maine WikiLabelSEP  Maine WikiLabelSEP
Maine State Route 113 EntityMentionSEP Standish village EntityMentionSEP Hiram EntityMentionSEP Fryeburg EntityMentionSEP	Maine State Route 113 coincides with Route 11 through the center of Steep Falls   then heads southeast towards Standish village and northwest towards Hiram and Fryeburg .	NA NA NA NA	tate Route 113 WikiLabelSEP h (CDP), Maine WikiLabelSEP Maine WikiLabelSEP g, Maine WikiLabelSEP
United States Census Bureau EntityMentionSEP	According to the United States Census Bureau	NA	States Census Bureau WikiLabelSEP
Wingfield Sculls EntityMentionSEP River Thames EntityMentionSEP	Douglas V Melvin ( born 1928 ) is a British rower who twice won the Wingfield Sculls   the amateur sculling championship of the River Thames .	NA NA	ld Sculls WikiLabelSEP hames WikiLabelSEP
Lancaster EntityMentionSEP	Melvin was born at Lancaster .	NA	er, Lancashire WikiLabelSEP
Electricity Board EntityMentionSEP John O'Gaunt Rowing Club EntityMentionSEP Wingfield Sculls EntityMentionSEP	He took a job there with the Electricity Board   and was working there and rowing for John O'Gaunt Rowing Club when he won the Wingfield Sculls in 1955 .	NA NA NA	 Electricity Generating Board WikiLabelSEP er John O' Gaunt Rowing Club WikiLabelSEP ld Sculls WikiLabelSEP
London Rowing Club EntityMentionSEP Wandsworth EntityMentionSEP	He was encouraged by Eric Phelps to join London Rowing Club and was able to transfer his Electricity Board job to Wandsworth in order to do so .	NA NA	Rowing Club WikiLabelSEP rth WikiLabelSEP
Farn Carpmael EntityMentionSEP John Marsden EntityMentionSEP Tony Fox EntityMentionSEP John Pinches EntityMentionSEP	This gave him the opportunity to train alongside other notable scullers at the club including Farn Carpmael   John Marsden   Tony Fox and John Pinches .	NA NA NA NA	rpmael WikiLabelSEP rsden (rower) WikiLabelSEP x WikiLabelSEP nches WikiLabelSEP
Diamond Challenge Sculls EntityMentionSEP Teodor Kocerka EntityMentionSEP	In the Diamond Challenge Sculls in 1955 he reached the semi-final where he met Teodor Kocerka   the eventual winner .	NA NA	 Challenge Sculls WikiLabelSEP Kocerka WikiLabelSEP
European Championships EntityMentionSEP	He went on to represent Great Britain in the single sculls at the European Championships later the same year .	NA	n Rowing Championships WikiLabelSEP
Great Britain team EntityMentionSEP 1956 Summer Olympics EntityMentionSEP	In 1956 he was selected as the spare man for the Great Britain team for the 1956 Summer Olympics in .	NA NA	at the 1956 Summer Olympics WikiLabelSEP mmer Olympics WikiLabelSEP
rowing EntityMentionSEP sculling EntityMentionSEP	After his boat and blades were shipped off to the Games he was de-selected in favour of someone more inclined to rowing rather than sculling .	NA Q9739	rowing) WikiLabelSEP g WikiLabelSEP
Scullers Head of the River Race EntityMentionSEP	In 1957 he won the Scullers Head of the River Race	NA	s Head of the River Race WikiLabelSEP
Fox News Channel 's EntityMentionSEP	"William Dawes "" Bill "" Schulz ( born August 14   1975 ) is a regular panelist   writer   and producer on Fox News Channel 's late night show     since its debut on February 5   2007 ."	NA	s Channel WikiLabelSEP
"Greg Gutfeld EntityMentionSEP "" crazy-eyed look EntityMentionSEP waving EntityMentionSEP"	"Serving as host Greg Gutfeld 's "" repulsive sidekick   "" who is routinely the target of Gutfeld 's running gags   Schulz often looks directly into the camera ( even when he is not being talked to ) with his signature "" crazy-eyed look   "" along with frequently waving to the television viewing audience ."	NA Q398752 NA	tfeld WikiLabelSEP expression WikiLabelSEP  WikiLabelSEP
The New York Times EntityMentionSEP Arthur Ochs Sulzberger , Jr. EntityMentionSEP	"Schulz provides the voice for an of The New York Times newspaper   named "" Pinch "" ( a reference to Arthur Ochs Sulzberger   Jr.   current publisher of the Times ) ."	NA NA	 York Times WikiLabelSEP Ochs Sulzberger, Jr. WikiLabelSEP
	Schulz is also a freelance writer and a former senior editor of .		
Lake Forest , Illinois EntityMentionSEP	Schulz was born in Lake Forest   Illinois .	NA	rest, Illinois WikiLabelSEP
Illinois EntityMentionSEP Lake Forest Academy EntityMentionSEP Emerson College EntityMentionSEP	He attended high school in Illinois at Lake Forest Academy   and in 1998 received a BA in Print Journalism with a minor in Theater graduating from Emerson College .	Q9956 NA Q189004	s WikiLabelSEP rest Academy WikiLabelSEP  College WikiLabelSEP
Glenn Beck EntityMentionSEP	In April 2009   Schulz made a notable cameo on Glenn Beck 's TV program   .	Q446038	eck WikiLabelSEP
Barack Obama EntityMentionSEP	"Beck described Schulz as the "" average American "" and pretended to pour gasoline ( actually water ) on him from a red container during Beck 's monologue about the effects of President Barack Obama 's policies ."	NA	Obama WikiLabelSEP
	Beck discussed setting Schulz on fire .		
The Five EntityMentionSEP Dana Perino EntityMentionSEP Jay-Z EntityMentionSEP	During the April 11   2013 episode of The Five   Dana Perino   aka ' Tiny D Day-P '   responded to Jay-Z 's Cuba rap track with her own rap   which was written by Bill Schulz .	NA Q2892959 NA	e (TV program) WikiLabelSEP rino WikiLabelSEP  WikiLabelSEP
	Perino s Schulz ' lyrics : Well my name is Tiny-D   and I 'm here to say   I bust funky-fresh rhymes in a major way .		
Casper EntityMentionSEP	So I 'm white like Casper   got a dog named Jasper   and if you do n't think fears me   go ahead and ask her .	Q7735302	the Friendly Ghost WikiLabelSEP
Jay-Z EntityMentionSEP	So if you love   stick with Jay-Z	NA	 WikiLabelSEP
	June Preisser ( June 26   1920 -- September 19   1984 ) was an American actress   briefly popular in musical films during the late 1930s and early 1940s   many of which capitalized on her skills as an acrobat .		
New Orleans EntityMentionSEP Louisiana EntityMentionSEP	Born in New Orleans   Louisiana   Preisser was one of six children   and was an underweight baby .	NA Q224438	eans WikiLabelSEP na WikiLabelSEP
	Her parents sent her to an athletic club at an early age   in an attempt to build her strength .		
	There she   and her sister Cherry   learnt acrobatics .		
	Their mother was keen to have them follow a career in showbusiness   especially when their father died suddenly   leaving the family with few options to make a living .		
vaudeville EntityMentionSEP Ziegfeld Follies EntityMentionSEP	When Preisser was nine years old an actor noticed the two sisters performing acrobatics on a sidewalk near their home   and his interest in them eventually led to them working in vaudeville   and later for the Ziegfeld Follies in 1934 and 1936 .	NA NA	lle WikiLabelSEP d Follies WikiLabelSEP
	The Preisser sisters were successful in the United States   and also performed in Europe   most notably for .		
	Cherry retired in 1938 following her marriage   and June was signed to a film contract by .		
Babes in Arms EntityMentionSEP Mickey Rooney EntityMentionSEP Judy Garland EntityMentionSEP	Her first film Dancing Co-Ed ( 1939 ) provided only a small part   but her next film   Babes in Arms ( 1939 )   gave her a significant role opposite Mickey Rooney and Judy Garland .	NA Q357591 NA	n Arms (film) WikiLabelSEP Rooney WikiLabelSEP rland WikiLabelSEP
Strike Up the Band EntityMentionSEP Andy Hardy 's Private Secretary EntityMentionSEP	"She performed with Rooney and Garland again in Strike Up the Band ( 1940 )   and with Rooney in two "" Andy Hardy "" films   Judge Hardy and Son ( 1939 ) and Andy Hardy 's Private Secretary ( 1941 ) ."	NA NA	Up the Band (film) WikiLabelSEP rdy's Private Secretary WikiLabelSEP
Jimmy Lydon EntityMentionSEP Sweater Girl EntityMentionSEP Eddie Bracken EntityMentionSEP	Gallant Sons ( 1940 ) placed her in a comedic murder mystery   and she played her first lead role opposite Jimmy Lydon in ( 1941 )   and followed this with Sweater Girl ( 1942 )   opposite Eddie Bracken .	NA NA NA	ydon WikiLabelSEP  Girl (film) WikiLabelSEP racken WikiLabelSEP
	She continued her career following her marriage in 1942 to J. Moss Terry   and the birth of a son   Ricky .		
Monogram Pictures EntityMentionSEP	By this time   MGM had little interest in promoting her   and she left to work for Monogram Pictures .	NA	m Pictures WikiLabelSEP
Frankie Darro EntityMentionSEP Noel Neill EntityMentionSEP	"She continued to appear in musical comedies over the next few years   and played the character "" Dodie Rogers "" in seven "" high school "" comedy films with Frankie Darro and Noel Neill from 1946 to 1948 ."	Q531798 Q227554	 Darro WikiLabelSEP ill WikiLabelSEP
Los Angeles EntityMentionSEP Annie Get Your Gun EntityMentionSEP	Her final film was ( 1948 )   and after appearing in a Los Angeles theater production of Annie Get Your Gun	NA NA	eles WikiLabelSEP et Your Gun (musical) WikiLabelSEP
Manchester Arena EntityMentionSEP Manchester EntityMentionSEP	Children in Need Rocks Manchester was a charity music concert held at the Manchester Arena in Manchester   England   on 17 November 2011 .	NA Q237183	ter Arena WikiLabelSEP ter WikiLabelSEP
Take That EntityMentionSEP The X Factor EntityMentionSEP Gary Barlow EntityMentionSEP Children in Need 2011 EntityMentionSEP	The concert was organised by Take That singer and The X Factor judge Gary Barlow as one of a series of events to raise money for Children in Need 2011 .	NA NA NA NA	at WikiLabelSEP actor (UK series 8) WikiLabelSEP rlow WikiLabelSEP n in Need 2011 WikiLabelSEP
Children in Need Rocks the Royal Albert Hall EntityMentionSEP	It became the second Children in Need Rocks concert organised by Barlow   after the Children in Need Rocks the Royal Albert Hall in 2009 .	NA	n in Need Rocks the Royal Albert Hall WikiLabelSEP
BBC One EntityMentionSEP BBC Radio 1 EntityMentionSEP official appeal telethon EntityMentionSEP	The concert was broadcast on BBC One   BBC One HD and BBC Radio 1 on Thursday 17 November 2011   the day before the official appeal telethon .	NA NA NA	 WikiLabelSEP io 1 WikiLabelSEP n in Need 2011 WikiLabelSEP
	Short films of projects being funded by the charity were shown at various points throughout the show   often featuring one of the celebrities meeting a child or group of children .		
Chris Moyles EntityMentionSEP Fearne Cotton EntityMentionSEP Doctor Who EntityMentionSEP David Tennant EntityMentionSEP	The event was hosted by radio and television presenters Chris Moyles and Fearne Cotton   along with former Doctor Who actor David Tennant .	NA Q11457 Q226503 NA	oyles WikiLabelSEP Cotton WikiLabelSEP Who WikiLabelSEP ennant WikiLabelSEP
Michael Bublé EntityMentionSEP Jessie J EntityMentionSEP Coldplay EntityMentionSEP James Morrison EntityMentionSEP Tulisa Contostavlos EntityMentionSEP Kelly Rowland EntityMentionSEP Lady Gaga EntityMentionSEP	The acts performing at the concert included Canadian Michael Bublé   Jessie J   Coldplay   James Morrison   Barlow 's fellow The X Factor judges   Tulisa Contostavlos and Kelly Rowland   Barlow himself and Lady Gaga .	NA Q9773 Q9973 NA Q19902126 NA NA	 Bublé WikiLabelSEP J WikiLabelSEP y WikiLabelSEP orrison (singer) WikiLabelSEP Contostavlos WikiLabelSEP owland WikiLabelSEP ga WikiLabelSEP
The Chris Moyles Show EntityMentionSEP	Barlow revealed on The Chris Moyles Show when announcing the concert that he had personally contacted the acts he wanted to perform .	NA	is Moyles Show WikiLabelSEP
	Tickets for the concert cost between # 55 and # 95   and the 12 000 tickets sold out within 10 minutes of going on sale on 16 September 2011 .		
BBC Radio Jersey EntityMentionSEP	Some tickets were also bought by radio stations and television programmes to be auctioned   with one pair of tickets being sold to a BBC Radio Jersey	NA	io Jersey WikiLabelSEP
Serbian EntityMentionSEP Serbia EntityMentionSEP	The Jablanica ( Serbian : Јабланица   ) is an river in southern Serbia .	Q315 NA	 language WikiLabelSEP  WikiLabelSEP
South ( or Južna ) Morava EntityMentionSEP Jablanica District EntityMentionSEP	A left tributary of the South ( or Južna ) Morava river   it gives its name to the region of Jablanica and to modern Serbia 's Jablanica District   with the region contributing about one third of the district 's area .	Q297418 NA	orava WikiLabelSEP ca District WikiLabelSEP
Goljak EntityMentionSEP Kosovo EntityMentionSEP	The Jablanica originates from the Goljak mountain   near the village of Grbavce   on the administrative border of the Kosovo province .	NA	 WikiLabelSEP
spas EntityMentionSEP Sijarinska Banja EntityMentionSEP	The area is rich in thermal springs   so several spas are located near the river : Stara Banja   Ravna Banja and Sijarina with popular Sijarinska Banja .	NA NA	tion spa WikiLabelSEP ska Banja WikiLabelSEP
	At the village of Maćedonce Retkocersko the Jablanica receives the left tributary Čokotinska reka ( Cyrillic : Чокотинска река )   turns southeast and the region of Jablanica begins from that point .		
Radan EntityMentionSEP Kosovo EntityMentionSEP	The upper Jablanica region is made of narrow river valley on the southern slopes of the and Radan mountains   in the westernmost corner of Jablanica District and near the border of the in Kosovo .	NA NA	mountain) WikiLabelSEP  WikiLabelSEP
Medveđa EntityMentionSEP Lebane EntityMentionSEP	The river flows eastward   passing regional center of Medveđa and the villages of Rujkovac and Šilovo   before reaching the town of Lebane where the Jablanica enters the lower part of its valley and flows for the next 48 km in low Field of Leskovac   part of the depression of Leskovac   which itself is part of the composite valley of the Južna Morava .	NA	 WikiLabelSEP
	In the region   near Lebane   a famed archeological find of ( Iustiniana Prima ) is located .		
Vinarce EntityMentionSEP Leskovac EntityMentionSEP	The Jablanica flows next to the villages of Ždeglovo   Vranovce   Bošnjace   Turekovac and Stopanje   reaches Vinarce   the northern suburb of the city of Leskovac   and turns north .	NA Q9820	 WikiLabelSEP c WikiLabelSEP
Veternica EntityMentionSEP	First it flows parallel to the Veternica river   to which it is connected by canal at the village of Zalužje   then parallel to the Južna Morava .	NA	ca WikiLabelSEP
Pečenjevce EntityMentionSEP	After the villages of Dupljane and Pečenjevce it turns east and flows into the Južna Morava .	NA	vce WikiLabelSEP
	From Pečenjevce   a parallel flow ( canal ) begins   connecting the Jablanica and s   some 15 km to the north .		
Black Sea EntityMentionSEP drainage basin EntityMentionSEP	Through Južna Morava   the Jablanica belongs to the Black Sea drainage basin   draining an area of 895 km ² itself .	NA NA	ea WikiLabelSEP e basin WikiLabelSEP
	It 's not navigable and has an average discharge of 6 m ³ / s   which in rainy years grows much higher   so the river floods its valley causing lots of material damage .		
	The name of the river   Jablanica   in Serbian means the		
Utah EntityMentionSEP The Church of Jesus Christ of Latter-day Saints EntityMentionSEP	Joseph Jenne Cannon ( May 22   1877 -- November 5   1945 ) was a Utah politician and newspaper editor and was a leader in The Church of Jesus Christ of Latter-day Saints ( LDS Church ) .	NA NA	 WikiLabelSEP rch of Jesus Christ of Latter-day Saints WikiLabelSEP
Cannon political family EntityMentionSEP	He was a member of the prominent Cannon political family .	Q8436	family WikiLabelSEP
Europe EntityMentionSEP	As a young man   Cannon served as a for the LDS Church in Europe .	NA	 WikiLabelSEP
apostle EntityMentionSEP Francis M. Lyman EntityMentionSEP Moscow EntityMentionSEP Russia EntityMentionSEP Mormonism EntityMentionSEP	He accompanied LDS Church apostle Francis M. Lyman in offering prayers in and Moscow which dedicated Russia for the preaching of Mormonism in August 1903 .	NA NA NA NA	 (Latter Day Saints) WikiLabelSEP  M. Lyman WikiLabelSEP  WikiLabelSEP sm WikiLabelSEP
Finland EntityMentionSEP	Lyman and Cannon also similarly dedicated Finland in 1903 .	NA	 WikiLabelSEP
Utah House of Representatives EntityMentionSEP	In the 1908 election   Cannon was elected as a member of the Utah House of Representatives from .	NA	use of Representatives WikiLabelSEP
	He served one term   from 1909 to 1911 .		
	Cannon was not formally associated with any political party .		
Deseret News EntityMentionSEP Salt Lake City EntityMentionSEP	From 1931 to 1934   Cannon was the editor of the Deseret News   a Salt Lake City newspaper owned by the LDS Church .	Q38926 NA	 News WikiLabelSEP ke City WikiLabelSEP
president EntityMentionSEP Mission EntityMentionSEP	His tenure ended when the LDS Church asked him to become the president of the church 's British Mission .	Q63532478 NA	 president WikiLabelSEP  (LDS Church) WikiLabelSEP
	Cannon served in this capacity for three years   until 1937 .		
George Q. Morris EntityMentionSEP	Immediately following his return to Utah   Cannon was asked to become the first assistant to George Q. Morris   the general superintendent of the church 's .	NA	Q. Morris WikiLabelSEP
pancreatic cancer EntityMentionSEP	Cannon served in this capacity until his death from pancreatic cancer	NA	tic cancer WikiLabelSEP
Liga Leumit EntityMentionSEP Israel Football Association EntityMentionSEP	The 1966 -- 68 Liga Leumit season was the thirteenth in the league 's history   and is notable for the Israel Football Association 's decision to play it over two years as a play to combat corruption and increasing violence at matches .	Q106560675 NA	umit WikiLabelSEP Football Association WikiLabelSEP
	The sixteen teams played each other four times during the season   effectively combining two seasons into one   leading it to be known as the double season (   HaOna HaKfula ) .		
SK Nes Tziona EntityMentionSEP Hapoel Mahane Yehuda EntityMentionSEP Liga Alef EntityMentionSEP	At the end of the season SK Nes Tziona and Hapoel Mahane Yehuda were relegated to Liga Alef .	NA NA NA	 Nes Tziona F.C. WikiLabelSEP Mahane Yehuda F.C. WikiLabelSEP ef WikiLabelSEP
	Neither team has returned to the top flight since .		
Hapoel Kfar Saba EntityMentionSEP Beitar Jerusalem EntityMentionSEP	They were replaced by Hapoel Kfar Saba and Beitar Jerusalem .	NA NA	Kfar Saba F.C. WikiLabelSEP Jerusalem F.C. WikiLabelSEP
Maccabi Tel Aviv EntityMentionSEP	As champions   Maccabi Tel Aviv entered the   which they won .	NA	 Tel Aviv F.C. WikiLabelSEP
Maccabi Netanya 's EntityMentionSEP Mordechai Spiegler EntityMentionSEP	Maccabi Netanya 's Mordechai Spiegler was the season 's top scorer with 38 goals - 15 during 1966 -- 67 and 23 in 1967 -- 68 .	NA NA	 Netanya F.C. WikiLabelSEP ai Spiegler WikiLabelSEP
Knesset EntityMentionSEP	The season began with a protests from relegated players   with the uproar reaching as far as the Knesset .	NA	 WikiLabelSEP
	In an attempt to restore order to the game and solve the issues raised   the IFA decided to spread the league games over two years instead of one .		
	The main objectives were to put an end to the riots on the field   reducing trouble at matches and improve the quality of play   as well as infusing new blood into teams by alleviating the immediate fear of relegation .		
Maccabi EntityMentionSEP Haifa EntityMentionSEP Maccabi Jaffa EntityMentionSEP Netanya EntityMentionSEP Sha'arayim EntityMentionSEP Tel Aviv EntityMentionSEP Hapoel EntityMentionSEP Be'er Sheva EntityMentionSEP Jerusalem EntityMentionSEP Mahane Yehuda EntityMentionSEP Petah Tikva EntityMentionSEP	The double season format involved all the Maccabi ( Haifa   Maccabi Jaffa   Netanya   Sha'arayim and Tel Aviv ) and Hapoel ( Be'er Sheva   Haifa   Jerusalem   Mahane Yehuda   Petah Tikva   and Tel Aviv	NA NA NA NA NA NA NA NA NA NA NA NA NA	 World Union WikiLabelSEP  Haifa F.C. WikiLabelSEP  Jaffa F.C. WikiLabelSEP  Netanya F.C. WikiLabelSEP  Sha'arayim F.C. WikiLabelSEP  Tel Aviv F.C. WikiLabelSEP  WikiLabelSEP Be'er Sheva F.C. WikiLabelSEP Haifa F.C. WikiLabelSEP Jerusalem F.C. WikiLabelSEP Mahane Yehuda F.C. WikiLabelSEP Petah Tikva F.C. WikiLabelSEP Tel Aviv F.C. WikiLabelSEP
Armenian American EntityMentionSEP sculptor EntityMentionSEP Museum of Jurassic Technology EntityMentionSEP	Hagop Sandaldjian ( 1931 -- 1990 ) was an Egyptian-born Armenian American musician and microminiature sculptor   best known for his tiny art pieces displayed at the Museum of Jurassic Technology in .	NA Q611130 NA	n American WikiLabelSEP re WikiLabelSEP of Jurassic Technology WikiLabelSEP
Mount Ararat EntityMentionSEP crucifix EntityMentionSEP Jesus EntityMentionSEP cross EntityMentionSEP Snow White and the Seven Dwarfs EntityMentionSEP Mickey Mouse EntityMentionSEP Napoleon EntityMentionSEP Pope John Paul II EntityMentionSEP	Sandaldjian 's creations included a carving of Mount Ararat on a grain of rice ; a crucifix in which a minute golden figure of Jesus hangs upon a cross made from a bisected strand of Sandaldjian 's own hair ; and recreations of Disney figures ( Snow White and the Seven Dwarfs or Mickey Mouse   for example ) or historical figures ( such as Napoleon or Pope John Paul II ) presented in the eye or on the tip of a needle .	NA Q9968 NA NA Q2751034 Q9937 NA	rarat WikiLabelSEP x WikiLabelSEP  WikiLabelSEP ite and the Seven Dwarfs (1937 film) WikiLabelSEP Mouse WikiLabelSEP n WikiLabelSEP hn Paul II WikiLabelSEP
